Tested device: RUTX11
Register address,Representation,Expected value,Decoded value,Passed the test
0,uint32,806,807,False
2,int32,-73,-73,True
4,int32,360,370,False
6,text,RUTX11,RUTX11,True
22,text,TAVO BITE BITE,TAVO BITE BITE,True
38,text,,1114919838,False
54,text,001E423C0F3E,001E423C0F3E,True
70,text,RUTX11,RUTX11,True
86,text,,sim1,False
102,text,"Registered, home","Registered, home",True
118,text,LTE,LTE,True
134,int32,,,False
136,int32,,,False
138,uint32,,10.20.113.42,False
140,int32,,,False
142,float32,,,False
144,float32,,,False
146,text,,,False
178,int32,,,False
180,int32,,,False
182,float32,,,False
184,uint32,637262,135316,False
186,uint32,542101,118281,False
188,uint32,,3424448,False
190,uint32,,2871959,False
192,uint32,,135316,False
194,uint32,,118281,False
196,uint32,,636276,False
198,uint32,,541594,False
200,uint16,,,False
201,uint16,,,False
204,uint16,1,1,True
291,uint32,6962011,6961025,False
293,uint32,5989043,5988536,False
295,uint32,21605591,21604605,False
297,uint32,17645878,17645371,False
299,uint32,0,0,True
301,uint32,0,0,True
303,uint32,,0,False
305,uint32,,0,False
307,uint32,,0,False
309,uint32,,0,False
311,uint32,,0,False
313,uint32,,0,False
315,uint32,0,0,True
317,uint32,0,0,True
319,uint32,24648,24648,True
321,uint32,26403,26403,True
323,uint16,,0,False
324,uint16,,0,False
347,text,246020102487106,246020102487106,True
