Tested device: RUT956
Register address,Representation,Expected value,Decoded value,Passed the test
2,uint32,2506,2506,True
4,int32,-65,-65,True
6,int32,320,320,True
8,text,RUT956,RUT956,True
24,text,TAVO BITE BITE,TAVO BITE BITE,True
40,text,6000125980,600012598,False
56,text,001E426173C1,001E426173C1,True
72,text,RUT956,RUT956,True
88,text,sim1,sim1,True
104,text,"Registered, home","Registered, home",True
120,text,LTE,LTE,True
136,int32,0,0,True
138,int32,0,0,True
140,uint32,,10.11.210.56,False
142,int32,0,0,True
144,float32,,,False
146,float32,,,False
148,text,,,False
180,int32,,,False
182,int32,,,False
184,float32,,,False
186,uint32,548464,547832,False
188,uint32,327726,327449,False
190,uint32,,547832,False
192,uint32,,327449,False
194,uint32,,547832,False
196,uint32,,327449,False
198,uint32,,547832,False
200,uint32,,327449,False
202,uint16,0,0,True
203,uint16,0,0,True
206,uint16,1,1,True
293,uint32,548464,547832,False
295,uint32,327726,327449,False
297,uint32,933717,933085,False
299,uint32,572598,572321,False
301,uint32,0,0,True
303,uint32,0,0,True
305,uint32,,0,False
307,uint32,,0,False
309,uint32,,0,False
311,uint32,,0,False
313,uint32,,0,False
315,uint32,,0,False
317,uint32,0,0,True
319,uint32,0,0,True
321,uint32,0,0,True
323,uint32,0,0,True
325,uint16,0,0,True
326,uint16,0,0,True
329,text,1-1.4,1-1.4,True
346,uint16,0,1,False
347,float32,0.0,0.0,True
349,text,246020102487106,246020102487106,True
365,uint32,1686055698,1686044894,False
367,text,2023-06-06T12:48,2023-06-06T12:48,True
379,text,2023-06-06T09:48,2023-06-06T09:48,True
395,uint8,192.168.1.1,,False
398,text,,,True
