Tested device: RUT956
Register address,Representation,Expected value,Decoded value,Passed the test
2,uint32,107,104,False
4,int32,-74,-74,True
6,int32,290,290,True
8,text,RUT956,RUT956,True
24,text,TAVO BITE BITE,TAVO BITE BITE,True
40,text,6000125980,600012598,False
56,text,001E426173C1,001E426173C1,True
72,text,RUT956,RUT956,True
88,text,sim1,sim1,True
104,text,"Registered, home","Registered, home",True
120,text,LTE,LTE,True
136,int32,0,0,True
138,int32,0,0,True
140,uint32,,10.11.210.56,False
142,int32,0,0,True
144,float32,,,False
146,float32,,,False
148,text,,,False
180,int32,,,False
182,int32,,,False
184,float32,,,False
186,uint32,170369,170369,True
188,uint32,112551,112551,True
190,uint32,,170369,False
192,uint32,,112551,False
194,uint32,,170369,False
196,uint32,,112551,False
198,uint32,,170369,False
200,uint32,,112551,False
202,uint16,0,0,True
203,uint16,0,0,True
206,uint16,1,1,True
293,uint32,170369,170369,True
295,uint32,112551,112551,True
297,uint32,555622,555622,True
299,uint32,357423,357423,True
301,uint32,0,0,True
303,uint32,0,0,True
305,uint32,,0,False
307,uint32,,0,False
309,uint32,,0,False
311,uint32,,0,False
313,uint32,,0,False
315,uint32,,0,False
317,uint32,0,0,True
319,uint32,0,0,True
321,uint32,0,0,True
323,uint32,0,0,True
325,uint16,0,0,True
326,uint16,0,0,True
329,text,,1-1.4,False
346,uint16,,0,False
347,float32,,0.0,False
349,text,246020102487106,246020102487106,True
365,uint32,,1686042494,False
367,text,,2023-06-06T12:08,False
379,text,,2023-06-06T09:08,False
395,uint8,,,False
398,text,,,True
